,Competition,Date,Location,Opponent
0,MLS,"Saturday, March 3, 2018 3:30PM ET
",A,at HOUSTON DYNAMO
1,MLS,"Sunday, March 11, 2018 3:00PM ET
",H,D.C. UNITED
2,MLS,"Saturday, March 17, 2018 7:30PM ET
",H,VANCOUVER WHITECAPS FC
3,MLS,"Saturday, March 31, 2018 8:00PM ET
",A,at MINNESOTA UNITED FC
4,MLS,"Saturday, April 7, 2018 5:00PM ET
",H,LOS ANGELES FOOTBALL CLUB
5,MLS,"Sunday, April 15, 2018 6:00PM ET
",H,NEW YORK CITY FC
6,MLS,"Saturday, April 21, 2018 10:30PM ET
",A,at LA GALAXY
7,MLS,"Saturday, April 28, 2018 1:00PM ET
",H,MONTREAL IMPACT
8,MLS,"Saturday, May 5, 2018 8:30PM ET
",A,at CHICAGO FIRE
9,MLS,"Wednesday, May 9, 2018 7:30PM ET
",H,SPORTING KANSAS CITY
10,MLS,"Sunday, May 13, 2018 6:00PM ET
",A,at ORLANDO CITY SC
11,MLS,"Sunday, May 20, 2018 7:00PM ET
",H,NEW YORK RED BULLS
12,MLS,"Wednesday, May 30, 2018 7:30PM ET
",A,at NEW ENGLAND REVOLUTION
13,MLS,"Saturday, June 2, 2018 7:00PM ET
",H,PHILADELPHIA UNION
14,MLS,"Saturday, June 9, 2018 12:30PM ET
",A,at NEW YORK CITY FC
15,MLS,"Wednesday, June 13, 2018 7:30PM ET
",A,at COLUMBUS CREW SC
16,MLS,"Sunday, June 24, 2018 4:30PM ET
",H,PORTLAND TIMBERS
17,MLS,"Saturday, June 30, 2018 7:00PM ET
",H,ORLANDO CITY SC
18,MLS,"Wednesday, July 4, 2018 8:00PM ET
",A,at FC DALLAS
19,MLS,"Saturday, July 7, 2018 7:00PM ET
",A,at PHILADELPHIA UNION
20,MLS,"Sunday, July 15, 2018 2:00PM ET
",H,SEATTLE SOUNDERS FC
21,MLS,"Saturday, July 21, 2018 3:30PM ET
",H,D.C. UNITED
22,MLS,"Saturday, July 28, 2018 7:30PM ET
",A,at MONTREAL IMPACT
23,MLS,"Saturday, August 4, 2018 4:00PM ET
",H,TORONTO FC
24,MLS,"Sunday, August 19, 2018 4:00PM ET
",H,COLUMBUS CREW SC
25,MLS,"Friday, August 24, 2018 8:00PM ET
",A,at ORLANDO CITY SC
26,MLS,"Sunday, September 2, 2018 5:30PM ET
",A,at D.C. UNITED
27,MLS,"Saturday, September 15, 2018 3:30PM ET
",A,at COLORADO RAPIDS
28,MLS,"Wednesday, September 19, 2018 10:30PM ET
",A,at SAN JOSE EARTHQUAKES
29,MLS,"Saturday, September 22, 2018 7:00PM ET
",H,REAL SALT LAKE
30,MLS,"Sunday, September 30, 2018 1:00PM ET
",A,at NEW YORK RED BULLS
31,MLS,"Saturday, October 6, 2018 3:30PM ET
",H,NEW ENGLAND REVOLUTION
32,MLS,"Sunday, October 21, 2018 3:00PM ET
",H,CHICAGO FIRE
33,MLS,"Sunday, October 28, 2018 4:30PM ET
",A,at TORONTO FC
