,Competition,Date,Location,Opponent
0,CCL,"Thursday, March 1, 2018 7:00PM PT
",H,SANTA TECLA FC
1,MLS,"Sunday, March 4, 2018 2:00PM PT
",H,LOS ANGELES FOOTBALL CLUB
2,CCL,"Wednesday, March 7, 2018 7:00PM PT
",H,CD GUADALAJARA
3,CCL,"Wednesday, March 14, 2018 7:00PM PT
",A,at CD GUADALAJARA
4,MLS,"Sunday, March 18, 2018 2:00PM PT
",A,at FC DALLAS
5,MLS,"Saturday, March 31, 2018 7:00PM PT
",H,MONTREAL IMPACT
6,MLS,"Sunday, April 15, 2018 1:00PM PT
",A,at SPORTING KANSAS CITY
7,MLS,"Sunday, April 22, 2018 1:00PM PT
",H,MINNESOTA UNITED FC
8,MLS,"Sunday, April 29, 2018 6:00PM PT
",A,at LOS ANGELES FOOTBALL CLUB
9,MLS,"Saturday, May 5, 2018 1:00PM PT
",H,COLUMBUS CREW SC
10,MLS,"Wednesday, May 9, 2018 4:30PM PT
",A,at TORONTO FC
11,MLS,"Sunday, May 13, 2018 1:00PM PT
",A,at PORTLAND TIMBERS
12,MLS,"Saturday, May 26, 2018 1:00PM PT
",H,REAL SALT LAKE
13,MLS,"Saturday, June 2, 2018 6:30PM PT
",A,at REAL SALT LAKE
14,MLS,"Saturday, June 9, 2018 7:00PM PT
",H,D.C. UNITED
15,MLS,"Wednesday, June 13, 2018 5:00PM PT
",A,at NEW YORK RED BULLS
16,MLS,"Saturday, June 23, 2018 7:00PM PT
",H,CHICAGO FIRE
17,MLS,"Saturday, June 30, 2018 1:30PM PT
",H,PORTLAND TIMBERS
18,MLS,"Wednesday, July 4, 2018 6:00PM PT
",A,at COLORADO RAPIDS
19,MLS,"Saturday, July 7, 2018 4:30PM PT
",A,at NEW ENGLAND REVOLUTION
20,MLS,"Sunday, July 15, 2018 11:00AM PT
",A,at ATLANTA UNITED FC
21,MLS,"Saturday, July 21, 2018 1:00PM PT
",H,VANCOUVER WHITECAPS FC
22,MLS,"Wednesday, July 25, 2018 7:30PM PT
",A,at SAN JOSE EARTHQUAKES
23,MLS,"Sunday, July 29, 2018 2:00PM PT
",H,NEW YORK CITY FC
24,MLS,"Saturday, August 4, 2018 5:00PM PT
",A,at MINNESOTA UNITED FC
25,MLS,"Sunday, August 12, 2018 5:00PM PT
",H,FC DALLAS
26,MLS,"Saturday, August 18, 2018 1:00PM PT
",H,LA GALAXY
27,MLS,"Sunday, August 26, 2018 6:30PM PT
",A,at PORTLAND TIMBERS
28,MLS,"Saturday, September 1, 2018 1:00PM PT
",H,SPORTING KANSAS CITY
29,MLS,"Saturday, September 15, 2018 7:00PM PT
",A,at VANCOUVER WHITECAPS FC
30,MLS,"Wednesday, September 19, 2018 8:00PM PT
",H,PHILADELPHIA UNION
31,MLS,"Sunday, September 23, 2018 4:00PM PT
",A,at LA GALAXY
32,MLS,"Saturday, September 29, 2018 1:00PM PT
",H,COLORADO RAPIDS
33,MLS,"Saturday, October 6, 2018 TBD
",H,HOUSTON DYNAMO
34,MLS,"Wednesday, October 17, 2018 4:30PM PT
",A,at ORLANDO CITY SC
35,MLS,"Sunday, October 21, 2018 2:00PM PT
",A,at HOUSTON DYNAMO
36,MLS,"Sunday, October 28, 2018 1:30PM PT
",H,SAN JOSE EARTHQUAKES
